STATE,NAME,ID,,,,,,,
CO,BOULDER MUNI,KBDU,,,,,,,
CO,BROOMFIELD/JEFFC,KBJC,,,,,,,
CO,BUCKLEY ANGB/DEN,KBKF,,,,,,,
CO,BUENA VISTA,KAEJ,,,,,,,
CO,BURLINGTON,KITR,,,,,,,
CO,CANON CITY,K1V6,,,,,,,
CO,CHEYENNE MOUNTAI,KCWN,,,,,,,
CO,COLORADO SPRINGS,KCOS,,,,,,,
CO,CORONA PASS,KCRV,,,,,,,
CO,CORTEZ,KCEZ,,,,,,,
CO,CO SPNGS MEADOW,KFLY,,,,,,,
CO,CRAIG,KCAG,,,,,,,
CO,DAKOTA HILL,KC99,,,,,,,
CO,DEL NORTE,KRCV,,,,,,,
CO,DELTA/BLAKE FLD,KAJZ,,,,,,,
CO,DENVER AIR SPACE,KCFO,,,,,,,
CO,DENVER/ARAPAHOE,KAPA,,,,,,,
CO,DENVER (DIA),KDEN,,,,,,,
CO,DENVER F. RANGE,KFTG,,,,,,,
CO,DURANGO,KDRO,,,,,,,
CO,EAGLE CO. REGION,KEGE,,,,,,,
CO,ELLICOTT-B AFA,KABH,,,,,,,
CO,ERIE MUNI,KEIK,,,,,,,
CO,FLAGLER,KFLA,,,,,,,
CO,FORT CARSON,KFCS,,,,,,,
CO,FORT MORGAN,KFMM,,,,,,,
CO,FT COLLINS/LOVEL,KFNL,,,,,,,
CO,GRANBY/GRAND CO,KGNB,,,,,,,
CO,GRAND JUNCTION,KGJT,,,,,,,
CO,GREELEY/WELD,KGXY,,,,,,,
CO,GUNNISON,KGUC,,,,,,,
CO,HAYDEN/YAMPA,KHDN,,,,,,,
CO,HOLYOKE,KHEQ,,,,,,,
CO,JULIET MADIS,K1JW,,,,,,,
CO,KIRK,K72C,,,,,,,
CO,KREMMLING AWOS,K20V,,,,,,,
CO,LA JUNTA,KLHX,,,,,,,
CO,LAMAR,KLAA,,,,,,,
CO,LA VETA PASS,KVTP,,,,,,,
CO,LEADVILLE,KLXV,,,,,,,
CO,LIMA MADIS,K1LW,,,,,,,
CO,LIMON,KLIC,,,,,,,
CO,LONGMONT/VBRAND,KLMO,,,,,,,
CO,MEEKER,KEEO,,,,,,,
CO,MIKE MADIS,K1MW,,,,,,,
CO,MONARCH PASS,KMYP,,,,,,,
CO,MONTROSE,KMTJ,,,,,,,
CO,MONUMENT/ELBERT,KMNH,,,,,,,
CO,MT WERNER SBS,K3MW,,,,,,,
CO,NOVEMBER MADIS,K1NW,,,,,,,
CO,NUCLA/HOPKINS F,KAIB,,,,,,,
CO,OSCAR MADIS,K1OW,,,,,,,
CO,PAGOSA SPRINGS,KPSO,,,,,,,
CO,PUEBLO,KPUB,,,,,,,
CO,RANGELY,K4V0,,,,,,,
CO,RED CLIFF PASS,KCCU,,,,,,,
CO,RIFLE,KRIL,,,,,,,
CO,SAGUACHE MUNI,K04V,,,,,,,
CO,SALIDA,KANK,,,,,,,
CO,SCHRIEVER AFB,KSHM,,,,,,,
CO,SPRINGFIELD,KSPD,,,,,,,
CO,STEAMBOAT SPRING,KSBS,,,,,,,
CO,STERLING,KSTK,,,,,,,
CO,STRATTON,KSTR,,,,,,,
CO,SUNLIGHT,K5SM,,,,,,,
CO,TELLURIDE REGION,KTEX,,,,,,,
CO,TRINIDAD/ANIMAS,KTAD,,,,,,,
CO,USAF ACADEMY/COS,KAFF,,,,,,,
CO,WALDEN,K33V,,,,,,,
CO,WALTON PEAK,KC07,,,,,,,
CO,WILKERSON PASS,K4BM,,,,,,,
CO,WOLF CREEK PASS,KCPW,,,,,,,
CO,WRAY,K2V5,,,,,,,
CO,YUMA,K2V6,,,,,,,
CT,BRIDGEPORT,KBDR,,,,,,,
CT,CHESTER,KSNC,,,,,,,
CT,DANBURY,KDXR,,,,,,,
CT,GROTON/NEW LONDO,KGON,,,,,,,
